自身免疫性胃炎	胃炎
软组织肉瘤肠系膜脂肪肉瘤	脂肪肉瘤##软组织肉瘤##肠系膜恶性肿瘤
右手腕部皮肤软组织撕脱并部分缺损	上肢撕脱伤##上肢皮肤缺损
"前列腺癌,双腹股沟淋巴结转移"	前列腺恶性肿瘤##癌##腹股沟淋巴结继发恶性肿瘤##转移性癌
"肾病,慢性胃窦炎"	肾病
慢性静脉功能不全	静脉功能不全(慢性)(周围性)
右侧输卵管伞端闭锁并积血	输卵管血肿##输卵管闭锁
右侧颞顶外伤性颅骨缺损右侧动眼神经瘫	动眼神经麻痹##后天性颅骨缺损
双侧胸腔积血	血胸
T12-L1压缩性骨折	胸椎压缩性骨折##腰椎压缩性骨折
"高血压病,糖尿病,冠心病，皮炎,心律失常,泌尿道感染"	高血压##糖尿病##冠状动脉粥样硬化性心脏病##皮炎##心律失常##泌尿系感染
头颈部刀砍伤	头部开放性损伤##颈部开放性损伤##刀砍伤加害
急性髓系白血病M6	急性红白血病(M6型)
纵膈血肿积气	纵隔气肿##纵隔血肿
隐睾新生儿双侧	先天性双侧隐睾
双膝外侧盘状半月板轻度OA骨代谢异常	先天性盘状半月板##膝骨关节病
阴道口色素沉着	色素沉着未特指的疾患
脐窦	脐窦
右小腿截肢小腿残端破损	截肢
慢性支气管炎急性加重	慢性支气管炎急性发作
睑肌痉挛	睑痉挛
脊柱病除外后颅窝病变	脊椎病
入院心电图：窦性心律，非特异性T波异常	非特异性ST-T改变
突发性耳聋(特发性聋)	突发性聋
乙状结肠粘液腺癌伴梗阻、肝转移 pT4N0M1 IVa期	乙状结肠恶性肿瘤##粘液腺癌##结肠梗阻##肝继发恶性肿瘤##转移性粘液腺癌
肺浸润性腺癌	肺继发恶性肿瘤##腺癌
右腓总神经鞘瘤	下肢周围神经和自主神经良性肿瘤##神经鞘瘤
升结肠高分化腺癌	升结肠恶性肿瘤##腺癌
非霍奇金淋巴瘤 滤泡性	未特指的滤泡性非霍奇金淋巴瘤
肾盂动态未定肿瘤	肾盂动态未定或动态未知的肿瘤
外耳道炎，急性	急性外耳道炎
西医1神经症2脑多发腔隙灶	神经症性障碍##腔隙性脑梗死##多发性脑梗死
"右肺腺癌 IIIB期,白细胞减少,放射性食管炎,骨转移,肺部感染,维生素缺乏,化疗前预处理"	右肺恶性肿瘤##腺癌##白细胞减少##放射性食管炎##骨继发恶性肿瘤##肺部感染##维生素缺乏
右踝肿块	下肢肿物
慢性肾衰竭CKD	慢性肾衰竭
坏死组织及大量真菌菌丝和孢子	真菌感染
乳腺非典型增生	乳腺增生
右眼裂小待查	睑裂狭小
脑梗死;高脂血症;痛风;周围神经病;睡眠障碍;焦虑障碍;急性前列腺炎	脑梗死##高脂血症##痛风##多发性神经病[多发性神经炎/周围神经炎]##睡眠障碍##焦虑障碍##急性前列腺炎
C7龋齿A8牙本质过敏	龋病##牙本质过敏症
双肺间质性改变不除外间质纤维化请结合病史	肺间质纤维化##间质性肺病
母体胎膜早破新生儿	胎儿和新生儿受胎膜早破的影响
右侧乳房溢血	乳头溢液
左面部皮肤恶性黑素瘤	面部其他和未特指部位的恶性黑色素瘤
远端脾肾分流术后，门静脉高压症	门脉高压
1左肱骨头坏死伴缺损2左肩关节继发性	肱骨头缺血性坏死
妊娠39+6周，孕5产1，单活胎，LOA，剖宫产	无指征剖宫产的单胎分娩
肝功能失代偿期腹水形成	肝硬化失代偿期##腹水
颅内真菌感染	颅内感染##真菌感染
头晕.下肢浮肿[脾肾不足.血脉瘀滞]	头晕##下肢水肿
肠粘膜松弛内套叠	肠套叠
糖尿病周围病变	糖尿病
HUNT综合症左化脓性软骨膜炎	拉姆齐-亨特综合征[Ramsy-Hunt综合征]
右眉弓玻璃划伤	玻璃割伤##前额开放性损伤
直肠癌放化疗 后	直肠恶性肿瘤##癌##恶性肿瘤放疗##化学治疗
异位甲状旁腺	甲状旁腺异位
回肠美克尔憩室炎	麦克尔憩室##小肠憩室炎
H59802青睫综合征	青光眼睫状体炎危象[青光眼睫状体炎综合征]
全身多处皮肤擦挫伤（污染严重）	多处损伤
盆腔无性细胞瘤	无性细胞瘤##盆腔恶性肿瘤
肱骨恶性肿瘤(骨肉瘤)	肱骨恶性肿瘤##骨肉瘤
骶尾部脂肪瘤型脊髓栓系	多发性脂肪瘤##骨盆良性肿瘤
颅脑缺损伴脑室扩大	脑室扩张##颅脑开放性损伤
外伤性瞳孔强直左	艾迪氏综合征[Adie瞳孔]
脑梗死多发颅内血管狭窄	脑梗死
马德隆畸形	马德隆畸形
前臂纤维瘤	前臂纤维瘤病
冠心病不稳定性心绞痛陈旧心梗	冠状动脉粥样硬化性心脏病##不稳定性心绞痛##陈旧性心肌梗死
眼视神经瘤	神经瘤##视神经良性肿瘤
右前臂刀刺伤	前臂开放性损伤##刀刺伤
右胫腓神经脱髓鞘改变	脱髓鞘病
糖尿病性神经病变足病	糖尿病足
胃窦隆起糜烂	糜烂性胃炎
双侧急性硬膜下血肿	硬膜下血肿
退变性椎间盘病DDD	椎间盘变性
左踝关节前方滑膜撞击征左足副舟骨	踝关节撞击综合征##先天性足副舟骨
心房纤维性颤动已转为窦性	心房颤动[心房纤颤]
宫颈腺体囊性增生伴局部腺体低级别异型增生	子宫内膜囊性增生
"深静脉血栓形成,肺腺+130:400癌IV期,肝功能损伤,化疗呕吐,白细胞减少 中性粒细胞减少"	静脉血栓形成##肺恶性肿瘤##腺癌##肝功能异常##化疗药物反应##呕吐##白细胞减少##中性粒细胞减少症
尿布疹5卵圆孔未闭	卵圆孔未闭##尿布性皮炎
胃低分化腺癌	胃恶性肿瘤##腺癌
LN复查手裂口化脓	狼疮性肾炎##手部开放性损伤
"尿毒症;高血压;冠心病心律失常型;高脂血症;糖尿病;肾性贫血;静脉血栓形成,透析中低血压"	尿毒症##高血压##冠心病心律失常型##高脂血症##糖尿病##肾性贫血##静脉血栓形成##肾脏透析状态##低血压
Alzheimer病混合型	阿尔茨海默病(混合型)
右小腿及足背皮肤缺损并坏死	下肢皮肤坏死##下肢皮肤缺损##足坏死##皮肤缺损
新生儿狼疮	新生儿狼疮综合征
左侧距骨及跟骨撕脱性骨折	距骨骨折##跟骨骨折
直肠息肉-管状腺瘤伴低级别上皮内瘤变	直肠良性肿瘤##直肠息肉##管状腺瘤
左侧股骨头以及髋臼囊性变	股骨骨囊肿##髋关节囊肿
前降支浅肌桥	冠状动脉肌桥
皮肤感染性肉芽肿	皮肤感染##肉芽肿
宫内环下移2绝经	避孕环移位##绝经期
腸炎，上呼吸道感染，胃溃	肠炎##上呼吸道感染##胃溃疡
宫颈高级别上皮内病变CINIII级	子宫颈上皮内瘤变III级[CINIII级]
急性移植物抗宿主反应病I级皮肤	急性移植物抗宿主病
左眼神经损伤	身体未特指部位的神经损伤
子宫内膜中分化子宫内膜样腺癌	子宫内膜样腺癌##子宫内膜恶性肿瘤
胸椎骨质破坏并不全瘫	不完全性瘫痪##骨质破坏
喉咽癌 T4N2M0 IV期	喉咽恶性肿瘤##癌##淋巴结继发恶性肿瘤
左卵巢子宫内膜样癌化疗后	子宫内膜样癌##卵巢恶性肿瘤##化学治疗
食管下段鳞癌	食管下三分之一的恶性肿瘤##鳞状细胞癌
上肢动颈脉内瘘闭塞	人工动静脉瘘闭塞
言语不清待查脑血管疾病其他	脑血管病##意识障碍
局灶-继发全身发作枕叶发作	枕叶性癫痫##癫痫部分性发作##癫痫大发作[全身强直-阵挛性发作]
早孕高PRL血症	妊娠状态##高泌乳素血症
腹痛; 肠癌术后	腹痛##胃肠道恶性肿瘤##癌
双侧肾癌	肾恶性肿瘤##癌
左膝股骨近端骨梗死髌股关节软骨退变	单侧膝关节骨性关节病##骨坏死
右颈肿痛	颈痛##颈部肿胀
排尿混浊?左阴囊疼痛	疼痛
贲门腺癌	贲门恶性肿瘤##腺癌
痹证寒湿痹阻证西医诊断1腰椎间盘膨出症	腰椎间盘移位
多浆膜积液待查	多发性浆膜腔积液
"右肺鳞癌IV期，肝癌,失眠"	右肺恶性肿瘤##鳞状细胞癌##肝恶性肿瘤##失眠
右下肺肿块:肺癌	右肺下叶恶性肿瘤##癌##肺肿物
左手第一掌指关节面碎裂并缺损	手部关节骨折
颈部前胸部猫抓伤	"被其他哺乳动物咬伤或抓伤,在未特指场所##颈部开放性损伤##胸部开放性损伤"
食道癌放疗	食管恶性肿瘤##癌##恶性肿瘤放疗
高血压，脑梗塞缺血，	高血压##脑梗死##脑血管供血不足
右足踇趾崁甲	足趾损伤##嵌甲
右示指皮肤缺失皮肤软组织缺失	皮肤缺损
口底表皮肥厚口底皮瓣肥厚	其他表皮肥厚
右肺空洞性质待查	肺病
牙龈挫伤	牙及相关组织损伤
右示指末节缺损毁损伤	手指损伤
乳腺肿瘤(化疗后)	乳腺恶性肿瘤##化学治疗
右输尿管结石并右肾积液	肾积水伴输尿管结石
1右股骨髂骨骨质破坏2肠蛔虫	骨质破坏##肠蛔虫病
双胎13死胎725复白带	双胎妊娠##胎死宫内
四肢骨痛	骨痛
宫外孕破裂休克	异位妊娠后子宫破裂##休克
腰1椎体爆裂骨折	腰椎骨折L1
头外伤后神经反应软组织挫伤感染水肿疼痛	头部损伤##感染##头痛##水肿
右侧陈旧性腔隙性脑梗死	腔隙性脑梗死
先天性发育不良	先天性发育异常
双髋关节退行性改变	双侧髋关节骨性关节病
溶血性尿毒综合症不除外	溶血-尿毒综合征
"左面颈部及牙龈肿物，CA?,疼痛"	面部肿物##颈部肿物##癌##疼痛##O
游离体骨和软骨结构	关节游离体
颈45不稳伴退变	颈椎不稳定##颈椎退行性病变
右眼视网膜裂孔伴局限性脱离	视网膜裂孔##视网膜脱离
多发性周围神经运动支感觉支脱髓鞘异常	脱髓鞘病##多发性神经病[多发性神经炎/周围神经炎]
2型糖尿病可能性大糖尿病酮症酸中毒	2型糖尿病##2型糖尿病性酮症酸中毒
先天性浮棘骶椎管囊肿	椎管囊肿
双眼屈光不正(近视)	近视##屈光不正
右胫动脉重度狭窄近闭塞	胫动脉狭窄##胫动脉闭塞
颈6-7髓内病变伴脊髓空洞	脊髓空洞症##脊髓病
肋骨瘤可能	肋骨良性肿瘤##骨瘤
二尖瓣瓣环发育差	二尖瓣发育不良
卵巢良性畸胎瘤	卵巢良性肿瘤##良性畸胎瘤
阑尾炎术后腹胀	阑尾炎##阑尾术后##腹胀
颅内多发腔隙性梗塞	腔隙性脑梗死##多发性脑梗死
背部色素斑	色素斑
双侧基底节区小腔隙灶脑白质脱髓鞘改变	脱髓鞘性白质脑病##腔隙性脑梗死
肋骨胸椎骨质破坏待查	骨质破坏
右肺中叶NSCLC	非小细胞癌##右肺中叶恶性肿瘤
evens综合症	自身免疫性溶血性贫血
冠心病心房纤颤高血压头痛	冠状动脉粥样硬化性心脏病##心房颤动[心房纤颤]##高血压##头痛
绝经期女性严重骨质疏松伴骨痛	绝经后骨质疏松##骨痛
右肺中叶支气管外压性狭窄	支气管狭窄
左侧颈内动脉窦部动脉夹层伴眼段闭塞	颈内动脉夹层##颈内动脉闭塞
颈椎硬膜外血肿伴不全瘫	不完全性瘫痪##硬膜外血肿
腹膜后及腹腔内多发稍大淋巴结	腹腔淋巴结肿大##腹膜后淋巴结肿大
月经不调早孕	月经紊乱##妊娠状态
十二指肠球部病变伴穿孔	十二指肠穿孔##胃和十二指肠未特指的疾病
右上颌窦为大量胶原变性组织伴钙盐沉积	钙质沉着症
左桡骨下端骨不连	桡骨骨折不连接
右颈部瘘管符合腮裂瘘	鳃裂瘘
右乳外上象限纤维腺瘤	乳腺良性肿瘤##纤维腺瘤
骨髓MM化疗后部分缓解骨髓象浆细胞7	多发性骨髓瘤##化学治疗
骨盆尤文氏肉瘤	尤因肉瘤##骨盆部肿瘤
右肺腺癌伽玛刀治疗后化疗后	右肺恶性肿瘤##腺癌##化学治疗##恶性肿瘤放疗
脑脊液异常所见表皮葡萄球菌	葡萄球菌感染
右枕叶血管畸形	头部血管畸形
周身游走性疼痛	疼痛
人偏肺病毒阳性	病毒感染
右腘窝疤痕挛缩	瘢痕挛缩##下肢瘢痕
肋间软组织劳损	躯干未特指关节和韧带脱位、扭伤和劳损
1新生儿胎粪综合征	新生儿胎粪吸入综合征
胃疼病全麻胃肠镜检查丙泊酚不耐受	胃痛
胃窦癌伴肝转移术后	胃窦恶性肿瘤##癌##肝继发恶性肿瘤##转移性癌
低分化腺鳞癌	鳞状细胞癌
慢性主观性头昏脑白质缺血	脑血管供血不足##头晕
孕1产0孕38+1周待产胎膜早破	孕38周##胎膜早破
胆管错构瘤可能	胆管错构瘤
颜面肿	面部肿胀
上腹痛待查；消化道出血;	上腹痛
右手中指伸肌腱止点撕脱性骨折	指骨骨折
停经296周B超提示胎儿双侧肾盂轻度分离	妊娠状态
非霍杰金淋巴瘤弥漫大B细胞型	弥漫大B细胞淋巴瘤
妊娠合并乙肝病毒携带	乙型病毒性肝炎病原携带者##妊娠状态
右面部Mikulicz病	米库利奇病
直肠中-高分化腺癌	直肠恶性肿瘤##腺癌
大疱性表皮松解坏死型药物疹	莱尔综合征[lyell综合征]
右乳浸润性导管瘤	乳腺恶性肿瘤##浸润性导管癌
肝胃不和血脂高	高脂血症
12牙根发育不全	牙根发育不良
宫颈非角化型鳞状细胞癌	子宫颈恶性肿瘤##鳞状细胞癌
右侧鼻翼皮肤肿物	鼻部肿物##皮肤肿物
病态窦房结综合症专科检查	病态窦房结综合征
上睑粘液癌()	眼睑恶性肿瘤##粘液癌
膈肌痉挛？胃炎？反流性食管炎？	痉挛##胃炎##反流性食管炎
横结肠管状腺瘤伴低级别上皮内瘤变	横结肠良性肿瘤##管状腺瘤
左眼虹膜周边切除术房角分离术	眼术后
肾错构瘤左侧	肾错构瘤
急性化脓性阑尾炎、（肠）麦克儿憩室	急性化脓性阑尾炎##麦克尔憩室
踝关节前踝骨裂	踝关节骨折
"贫血,妊娠"	贫血##妊娠状态
颈部软组织感染合并淋巴结炎	颈部软组织感染##颈淋巴结炎
节育器宫颈异位嵌顿	避孕环嵌顿
双肋缘明显外翻原因待查胃口差抵抗差	食欲不振##肋骨畸形
"肝占位,肝癌"	肝恶性肿瘤##癌##肝占位性病变
心功能II级(KILLIP分级)	KillipII级
L5椎体结核	腰椎结核
左侧肢体无力待查颈腰椎病	偏侧肢体无力##颈椎病##腰椎病
胆结石高血压病胃脘痛咽痛结膜炎	胆石症##高血压##胃痛##咽痛##结膜炎
胸45椎体破坏伴截瘫	截瘫[双下肢瘫痪]
左肺高代谢病灶查因	肺诊断性影像异常
"全子宫切除术后,盆腔囊肿,包裹性积液,直肠类癌术后,肠镜检查,出血倾向,肠道准备"	O##盆腔囊肿##盆腔包裹性积液##直肠术后##直肠恶性肿瘤##类癌瘤##出血倾向
股骨头坏死右	股骨头缺血性坏死
右侧室管膜下囊肿	室管膜囊肿
重度颅脑外伤性	头部损伤
"升结肠ca术后复查,肠镜检查 肠道准备"	升结肠恶性肿瘤##结肠术后##癌
多脏器功能不全心脏肾脏消化道凝血代谢	多脏器功能障碍综合征[MODS]
左耳面神经瘤	神经瘤##面神经良性肿瘤
高血压特病	高血压
双髋退变	双侧髋关节骨性关节病
乙状结肠管状腺癌	乙状结肠恶性肿瘤##管状腺癌
胃间质瘤朮后	胃肠道间质性瘤##胃术后
(FLJC)甲状腺ca术后	甲状腺恶性肿瘤##甲状腺术后##癌
左眼小柳－原田氏病	Vogt-小柳原田综合征
直肠低中分化管状腺癌	直肠恶性肿瘤##管状腺癌
上呼吸道感染，咽喉肿痛；足膝红肿；	上呼吸道感染
肺上叶支气管恶性肿瘤	支气管恶性肿瘤##肺上叶恶性肿瘤
骨盆转移癌	盆骨继发恶性肿瘤##转移性癌
白血病诱导缓解治疗	白血病
直肠绒毛管状腺瘤不除外有更严重病变可能	直肠良性肿瘤##管状绒毛状腺瘤
关节退行性改变	骨关节病
呼吸道感染胸闷;佝偻病	呼吸道感染##胸闷##O
女性盆腔囊肿	盆腔囊肿
咽鼓管开放症左咽鼓管功能不良	咽鼓管未特指的疾患
右胸腰部软组织裂口	胸部开放性损伤##下背开放性损伤
胎盘局部见钙盐沉积和灶性中性白细胞浸润	钙质沉着症
左上颌根尖炎性病变	根尖周炎
慢性结肠炎伴肠功能紊乱	慢性结肠炎##肠功能紊乱
高血压冠心病阴道炎	高血压##冠状动脉粥样硬化性心脏病##阴道炎
右乳浸润导管癌保乳术后	乳腺恶性肿瘤##浸润性导管癌##乳腺术后
晚孕(上感)	妊娠状态##上呼吸道感染
右侧腹股沟疖肿	腹股沟脓肿##皮肤疖肿
取除子宫内节育器	取出子宫内避孕装置
脂肪性肝病	脂肪肝
近肝曲横结肠绒毛管状腺瘤伴中度异型增生	横结肠良性肿瘤##管状绒毛状腺瘤
左侧颈动脉海绵窦瘘	海绵窦动静脉瘘
腰椎压缩性骨折术后	腰椎压缩性骨折##骨折术后
腰椎oa心脏病	未特指的心脏病##脊椎退行性病变
静脉特指疾患左上臂头静脉破裂	静脉其他特指的疾患
1021咽拭子病毒筛查示EV71病毒阳性	手足口病
左乳腺癌肺骨转移放化疗	乳腺恶性肿瘤##癌##肺继发恶性肿瘤##骨继发恶性肿瘤##化学治疗##放射治疗##转移性癌
停经293周MR提示胎儿左肾稍大肾盏扩张	妊娠状态
腮弓综合症附耳双	先天性副耳##第一、二鳃弓综合征[Goldenhar综合征]
梗阻性膀胱	膀胱颈梗阻
眼部蜂窝织炎	蜂窝织炎
右膝关节骨关节炎	单侧膝关节骨性关节病
主动脉栓塞和血栓形成	主动脉其他和未特指部位的栓塞和血栓形成
妄想	妄想状态
甲状腺易位	甲状腺异位
回肠双腔造瘘术后	回肠造口状态
双侧支气管扩张	支气管扩张症
肝癌冷冻术后/乙肝肝硬化	肝术后##肝恶性肿瘤##乙型肝炎肝硬化##癌
胸腔积血	血胸
左侧颈部淋巴组织增生性病	淋巴组织增生病
右侧髂血管旁淋巴结肿大	淋巴结肿大
"多发性骨髓瘤 (IGD LAMBDA型)D-S分期ⅢB期,ISS分期I期"	多发性骨髓瘤(IgDλ型)##多发性骨髓瘤(DS分期III期B组)##多发性骨髓瘤(ISS分期I期)
缺钙，背部疼痛	背痛
右侧坐骨囊肿	骨盆部囊肿
胸腰椎多发压缩性骨折	胸椎压缩性骨折##腰椎压缩性骨折
四肢抖动待查低钙脑损伤新生儿良性惊	不自主运动##低钙血症##良性新生儿惊厥##新生儿脑损伤
宫颈腺癌，低分化	子宫颈恶性肿瘤##腺癌
子宫内膜低分化浆液性腺癌	子宫内膜恶性肿瘤##浆液性腺癌
COPD稳定期	慢性阻塞性肺疾病
甲状腺癌术后 左侧颈部淋巴结肿大	甲状腺术后##甲状腺恶性肿瘤##颈淋巴结肿大##癌
阑尾黏液腺癌	阑尾恶性肿瘤##粘液腺癌
主动脉弓缩窄CHF	主动脉弓狭窄##充血性心力衰竭
上肢恶性黑色素瘤	上肢恶性黑色素瘤##恶性黑色素瘤
双手肌萎缩	肌肉萎缩
完全流产	"流产,完全性或未特指,无并发症"
先天性心脏病术后（室间隔缺损）	先天性心脏病术后##室间隔缺损
重型闭合性颅脑损伤	闭合性颅脑损伤重型
食管胸中段癌	食管胸中段恶性肿瘤##癌
心功能KILLIPI级	KillipI级
右股骨近端动脉瘤样骨囊肿	股骨骨囊肿##动脉瘤性骨囊肿
右甲癌不全术后	甲状腺恶性肿瘤##癌##甲状腺术后
胃体前壁全层坏死伴穿孔	胃穿孔
淋巴继发恶性肿瘤	淋巴结继发恶性肿瘤
腓神经炎	单神经炎
糜烂性胃炎，异位胰腺	糜烂性胃炎##胰腺异位
右面部葡萄酒色斑	鲜红斑痣[葡萄酒色痣]
胃窦癌中分化腺癌	胃窦恶性肿瘤##腺癌
右肾囊肿多发性	肾囊肿
趾外翻	足畸形
上唇外伤性色素沉着	色素沉着未特指的疾患
胃癌T4N2M0III期	胃恶性肿瘤##癌
右手发麻待查桡神经病变	桡神经损害
主动脉瓣三尖瓣中度闭锁不全	主动脉瓣关闭不全##三尖瓣关闭不全
右前臂压疮皮缺损	压疮##上肢皮肤缺损
：小房缺；染色体病？	房间隔缺损##染色体病
右侧腹股沟斜疝成形术后	单侧腹股沟斜疝##腹股沟术后
顺产后宫内组织残留	胎盘部分残留不伴出血
外耳道腺样囊性Ca	腺样囊性癌##外耳道皮肤恶性肿瘤
20晚孕单活胎胎儿左心室强光点	妊娠状态
右肺小细胞癌广泛期	右肺恶性肿瘤##小细胞癌
双侧脑室及第三脑室形态扩大	脑室扩张
支气管炎恢复期	支气管炎
分娩伴会阴裂伤Ⅱ度	分娩伴会阴裂伤
右侧胸膜小圆细胞恶性肿瘤放化疗后	胸膜恶性肿瘤##恶性肿瘤放疗##化学治疗
右腘窝软组织伤	"下肢未特指的损伤,水平未特指"
子宫内膜癌术后 肺部结节不排除转移	子宫术后##子宫内膜恶性肿瘤##肺占位性病变##肺继发恶性肿瘤##癌
哮喘，植物神经功能紊乱	支气管哮喘##植物神经功能紊乱
视网膜动脉闭塞OD	其他视网膜动脉阻塞
额颞顶叶硬膜下积液低铁低锌	硬脑膜下积液##铁缺乏##锌缺乏
先天性心脏病室间隔缺损房间隔缺损肺高压	房间隔缺损##室间隔缺损##肺动脉高压
颈髓病变空洞可能性大	脊髓空洞症##脊髓病
肝功受损特纳综合症	特纳综合征[Turner综合征]##肝功能异常
异位肾伴旋转不良伴巨输尿管右侧	肾异位##先天性肾旋转不良##先天性巨输尿管
非霍奇金淋巴瘤(弥漫大B细胞型淋巴瘤 II期B组 IPI评分2分)	非霍奇金淋巴瘤##弥漫大B细胞淋巴瘤
左踝关节病变	关节病
左膝关节骨关节炎	单侧膝关节骨性关节病
左胸壁先天性鳃裂瘘管	鳃裂瘘
全身多处刀砍伤	刀砍伤加害
（左外耳道）鳞状细胞癌，中分化。	外耳道皮肤恶性肿瘤##鳞状细胞癌
纵膈淋巴组织细胞增生	淋巴组织增生
胆囊息肉伴慢性胆囊炎	胆囊息肉##慢性胆囊炎
非霍奇金血管免疫母细胞性T细胞淋巴瘤	非霍奇金淋巴瘤##血管免疫母细胞T-细胞淋巴瘤
腹腔室间隔综合症	腹腔筋膜室综合征[腹腔室隔综合征ACS]
左髋关节骨关节炎	髋骨关节病
右中叶MIA右下肺MIA	右肺中下叶恶性肿瘤##腺癌
骶尾部皮肤软组织广泛撕脱伴缺损	躯干开放性损伤##皮肤缺损
右面部软组织挫裂伤	面部软组织挫伤
摔伤头部	头部损伤##摔伤
"左乳癌术后,右下肺占位"	乳腺术后##癌##乳腺恶性肿瘤##肺占位性病变
右侧卵巢输卵管脓肿	输卵管卵巢脓肿
破碎的粘液变性的疏松结缔组织骨骼肌伴骨化	结缔组织病
发作性意识不清大小便失禁待查	尿失禁##大便失禁##意识模糊
颈椎间盘突出症伴椎管狭窄	颈椎间盘突出##颈椎管狭窄
左外侧突出型L45膨出	腰椎间盘突出
"胃癌，胃镜检查, 术后化疗呕吐肝功能障碍,慢性肝炎"	胃恶性肿瘤##恶性肿瘤术后化疗##呕吐##肝功能异常##慢性肝炎##癌
右腿麻软查因	肌无力
胼胝体异常信号影性质待定	"颅骨和头诊断性影像检查的异常所见,不可归类在他处者"
（右侧附件）符合卵巢卵泡膜细胞瘤，输卵管未见肿瘤。	卵巢良性肿瘤##泡膜细胞瘤
幽门管管状腺瘤	胃良性肿瘤##管状腺瘤
子宫内膜息肉术后	子宫内膜息肉##子宫术后
不自主抽动查因睡眠行为障碍	不自主运动##快动眼睡眠行为障碍
左肾盂癌	肾盂恶性肿瘤##癌
眼动脉畸形	周围动脉畸形
双肺内、第3胸椎、右髂骨转移不除外	肺继发恶性肿瘤##髂骨继发恶性肿瘤##胸椎继发恶性肿瘤##转移性肿瘤
左膝髌骨局灶性古梗死	骨坏死
双足青少年柔韧性平足全身松弛症	扁平足
双卵巢中分化腺癌	卵巢恶性肿瘤##腺癌
残角子宫查见胎盘及胎儿	残角子宫妊娠
宫颈中分化鳞癌IIB期化疗后	子宫颈恶性肿瘤##鳞状细胞癌##化学治疗
结肠癌术后，化疗后	结肠恶性肿瘤##癌##恶性肿瘤术后化疗
"胃癌,胃镜检查局麻 预防出血,超声胃镜检查"	胃恶性肿瘤##癌
上消化道出血(食道胃底静脉曲张)	上消化道出血##食管静脉曲张##胃底静脉曲张
宫颈鳞状细胞癌IIIB期化疗后	子宫颈恶性肿瘤##鳞状细胞癌##化学治疗
右侧第45前肋及第6后肋骨质破坏性质待查	骨质破坏
右口底导管囊性扩张伴钙盐沉积	钙质沉着症
膜性肾病不除外乙型肝炎病毒相关性肾炎	膜性肾病##乙型肝炎相关性肾炎
压力性尿失禁(轻度)	压力性尿失禁
面颊部肿物	面部肿物
停经245周B超提示胎儿上腔静脉走形迂曲	妊娠状态
海洛因海绵状白质脑病	海洛因中毒##脑白质病
窦性心律不齐窦房结内游走心律伴不齐	窦性心律失常##窦房结游走性心律
右肱骨大结节、肩胛盂骨折	肱骨大结节骨折##肩关节盂骨折
冠脉造影支架置入	冠状动脉支架植入术后状态
胸椎腰椎双侧髋关节退变脊柱轻度侧弯	胸椎退行性病变##腰椎退行性病变##双侧髋关节骨性关节病##脊柱侧弯
下腹部扭伤	身体未特指部位的脱位、扭伤和劳损
原发不输卵管性排卵异常	原发不孕##输卵管起因的女性不孕症
前庭大腺急性化脓性渗出物及增生的肉芽组织	前庭大腺脓肿[巴氏腺脓肿]
左腕豌豆骨撕脱性骨折	豆骨骨折
耳后粉瘤感染	皮脂腺囊肿##感染
眼植入物移位	其他眼假体装置、植入物和移植物的机械性并发症
病毒性肝炎慢性乙肝	慢性乙型病毒性肝炎
活体肝移植供体轻度脂肪肝	供肝脏者##脂肪肝
压缩性骨折(L1、L3)	腰椎压缩性骨折
急性淋巴细胞白血病(急性B淋巴细胞白血病)	急性淋巴细胞白血病##急性淋巴细胞白血病##B细胞急性淋巴细胞白血病
胃体Dieulafoy病	胃粘膜下恒径动脉破裂出血
低钙镁氯血症	低钙血症##低镁血症##低氯血症
纵隔鳞状细胞癌	纵隔恶性肿瘤##鳞状细胞癌
非酒精性脂肪肝病轻度	脂肪肝
左侧椎动脉动脉供血不足	椎-基底动脉供血不全
先天性肺动脉闭锁	肺动脉闭锁
左室心肌细胞呈弥漫性肥大改变部分变性	心肌肥大##心肌变性
左股骨近端溶骨性破坏	骨质溶解
肩手综合症	肩手综合征
右耳廓疤痕粘连伴部分缺损	瘢痕粘连##后天性耳廓缺损
先天性骨骼发育异常	骨骼发育不良
右侧颈总动脉粥样硬化斑块形成	颈总动脉斑块##颈动脉粥样硬化
左胫腓骨纤维异样增殖症	腓骨纤维结构不良##胫骨纤维结构不良
左肺上叶周围型腺癌cT1aN3M1 IV期左侧胸膜及叶间胸膜转移左侧恶性	左肺上叶恶性肿瘤##腺癌##胸膜继发恶性肿瘤##转移性腺癌##淋巴结继发恶性肿瘤
甲状腺癌伴肺M内放疗三程后	甲状腺恶性肿瘤##癌##肺继发恶性肿瘤##恶性肿瘤放疗##转移性癌
纤维蛋白原减少症	低纤维蛋白原血症
左侧小腿挤压软组织剥脱撕裂伤	小腿挤压伤##小腿撕脱伤
溃疡癌变	溃疡癌变
左附件交界性浆液性肿瘤术后	输卵管及卵巢恶性肿瘤
慢性纤维化空洞型肺结核伴支气管扩张	空洞型肺结核##结核性支气管扩张
右卵巢浆液性乳头状囊腺瘤	乳头状囊腺瘤##卵巢良性肿瘤
妊娠合并子宫浆膜下肌瘤	妊娠合并子宫肌瘤
结肠肿物术后	结肠肿物##结肠术后
颏部发育不足	先天性颅面发育不全
直肠癌姑息治疗后	直肠恶性肿瘤##姑息医疗##癌
肝硬变食管静脉曲张	肝硬化##食管静脉曲张
胃底胃体隆起性病变查因	胃和十二指肠未特指的疾病
